TestName,Abbr,Pretty
RBC.x1e6.uL.,rbc,rbc (x1e6/ul)
WBC.x1e3.uL.,wbc,wbc (x1e3/ul)
Hemoglobin.g.dL.,Hgb,Hemoglobin (g/dl)
Hematocrit.per.,Hct,Hematocrit (%)
MCV.fL.,MCV,MCV (fL)
MCH.Pg.,MCH,MCH (Pg)
MCHC.g.dL.,MCHC,MCHC (g/dl)
RDW.per.,RDW,RDW (%)
Platelets.x1e3.uL.,Plt,Platelets (x1e3/ul)
Neutrophils.Abs.x1e3.uL.,Neut,Neutrophils (x1e3/ul)
Lymphocytes.Abs.x1e3.uL.,Lymph,Lymphocytes (x1e3/ul)
Monocytes.Abs.x1e3.uL.,Mono,Monocytes (x1e3/ul)
Eosinophils.Abs.x1e3.uL.,Eosin,Eosinophils (x1e3/ul)
Basophils.Abs.x1e3.uL.,Baso,Basophils (x1e3/ul)
ImmatureGrans.Abs.x1e3.uL.,IG,Immature Granulocytes (x1e3/ul)
Neutrophils.per.,Neut.per,Neutrophils (%)
Lymphocytes.per.,Lymph.per,Lymphocytes (%)
Monocytes.per.,Mono.per,Monocytes (%)
Eosinophils.per.,Eosin.per,Eosinophils (%)
Basophils.per.,Baso.per,Basophils (%)
ImmatureGranulocytes.per.,IG.per,Immature Granulocytes (%)
CholesterolTotal.mg.dL.,TC,Total cholesterol (mg/dl)
VLDL.mg.dL,VLDL,VLDL (mg/dl)
LDL.mg.dL.,LDL,LDL-C (mg/dl)
HDL.mg.dL.,HDL,HDL-C (mg/dl)
Triglycerides.mg.dL.,TG,Triglycerides (mg/dl)
CRP_Cardiac.mg.L.,CRP,hs-CRP (mg/l)
PhosSerum.mg.dL.,Phos,Serum phosphate (mg/dl)
UricAcidSerum.mg.dL.,UA,Serum uric acid (mg/dl)
BilirubTotal.mg.dL.,Bil,Total bilirubin (mg/dl)
BilirubDirect.mg.dL.,BilD,Direct bilirubin (mg/dl)
BilirubIndirect.mg.dL.,BilI,Indirect bilirubin (mg/dl)
CreKinaseSerum.U.L.,CKS,Creatine Kinase Serum (U/L)
